"cbsa10","state_num","zip","state_abbreviation","cbsa_name","zip_name","population_2016","allocation_factor"
"10180","48","79603","TX","Abilene, TX Metropolitan Statistical Area","Abilene, TX",25216.812,0.148 
"10180","48","79605","TX","Abilene, TX Metropolitan Statistical Area","Abilene, TX",31248.996,0.183 
"10180","48","79606","TX","Abilene, TX Metropolitan Statistical Area","Abilene, TX",23760.159,0.139 
"10180","48","79607","TX","Abilene, TX Metropolitan Statistical Area","Abilene, TX",2974.562,0.017 
"10180","48","79699","TX","Abilene, TX Metropolitan Statistical Area","Abilene, TX",333.276,0.002 
"10220","40","74572","OK","Ada, OK Micropolitan Statistical Area","Tupelo, OK",57.252,0.001 
"10220","40","74820","OK","Ada, OK Micropolitan Statistical Area","Ada, OK",31333.027,0.817 
"10220","40","74825","OK","Ada, OK Micropolitan Statistical Area","Allen, OK",1652.12,0.043 
"10220","40","74831","OK","Ada, OK Micropolitan Statistical Area","Byars, OK",70.542,0.002 
"10220","40","74842","OK","Ada, OK Micropolitan Statistical Area","Fittstown, OK (PO Boxes)",138.017,0.004 
"10220","40","74843","OK","Ada, OK Micropolitan Statistical Area","Fitzhugh, OK",347.599,0.009 
"10220","40","74844","OK","Ada, OK Micropolitan Statistical Area","Francis, OK",379.292,0.01 
"10220","40","74865","OK","Ada, OK Micropolitan Statistical Area","Roff, OK",1582.6,0.041 
"10220","40","74871","OK","Ada, OK Micropolitan Statistical Area","Stonewall, OK",2226.681,0.058 
"10220","40","74872","OK","Ada, OK Micropolitan Statistical Area","Stratford, OK",542.869,0.014 
"10300","26","48176","MI","Adrian, MI Micropolitan Statistical Area","Saline, MI",28.597,0 
"10300","26","49220","MI","Adrian, MI Micropolitan Statistical Area","Addison, MI",1914.03,0.019 
"10300","26","49221","MI","Adrian, MI Micropolitan Statistical Area","Adrian, MI",40735.997,0.414 
"10300","26","49228","MI","Adrian, MI Micropolitan Statistical Area","Blissfield, MI",5467.952,0.056 
"10300","26","49229","MI","Adrian, MI Micropolitan Statistical Area","Britton, MI",3086.509,0.031 
"10300","26","49230","MI","Adrian, MI Micropolitan Statistical Area","Brooklyn, MI",2203.945,0.022 
"10300","26","49233","MI","Adrian, MI Micropolitan Statistical Area","Cement City, MI",839.175,0.009 
"10300","26","49235","MI","Adrian, MI Micropolitan Statistical Area","Clayton, MI",2087.584,0.021 
"10300","26","49236","MI","Adrian, MI Micropolitan Statistical Area","Clinton, MI",4135.724,0.042 
"10300","26","49238","MI","Adrian, MI Micropolitan Statistical Area","Deerfield, MI",1387.45,0.014 
"10300","26","49247","MI","Adrian, MI Micropolitan Statistical Area","Hudson, MI",4304.348,0.044 
"10300","26","49248","MI","Adrian, MI Micropolitan Statistical Area","Jasper, MI",886.508,0.009 
"10300","26","49253","MI","Adrian, MI Micropolitan Statistical Area","Manitou Beach-Devils Lake, MI",3122.008,0.032 
"10300","26","49256","MI","Adrian, MI Micropolitan Statistical Area","Morenci, MI",3833.976,0.039 
"10300","26","49265","MI","Adrian, MI Micropolitan Statistical Area","Onsted, MI",4889.109,0.05 
"10300","26","49267","MI","Adrian, MI Micropolitan Statistical Area","Ottawa Lake, MI",280.054,0.003 
"10300","26","49268","MI","Adrian, MI Micropolitan Statistical Area","Palmyra, MI",1044.285,0.011 
"10300","26","49276","MI","Adrian, MI Micropolitan Statistical Area","Riga, MI",658.718,0.007 
"10300","26","49279","MI","Adrian, MI Micropolitan Statistical Area","Sand Creek, MI",785.926,0.008 
"10300","26","49286","MI","Adrian, MI Micropolitan Statistical Area","Tecumseh, MI",14591.396,0.148 
"10300","26","49287","MI","Adrian, MI Micropolitan Statistical Area","Tipton, MI",1959.391,0.02 
"10300","26","49288","MI","Adrian, MI Micropolitan Statistical Area","Waldron, MI",96.638,0.001 
"10300","26","49289","MI","Adrian, MI Micropolitan Statistical Area","Weston, MI (PO Boxes)",164.68,0.002 
"10420","39","44056","OH","Akron, OH Metropolitan Statistical Area","Macedonia, OH",11126.501,0.016 
"10420","39","44067","OH","Akron, OH Metropolitan Statistical Area","Northfield, OH",20385.123,0.029 
"10420","39","44087","OH","Akron, OH Metropolitan Statistical Area","Twinsburg, OH",20165.724,0.029 
"10420","39","44141","OH","Akron, OH Metropolitan Statistical Area","Brecksville, OH",287.213,0 
"10420","39","44201","OH","Akron, OH Metropolitan Statistical Area","Atwater, OH",6865.284,0.01 
"10420","39","44202","OH","Akron, OH Metropolitan Statistical Area","Aurora, OH",19439.319,0.028 
"10420","39","44203","OH","Akron, OH Metropolitan Statistical Area","Barberton, OH",41009.59,0.058 
"10420","39","44216","OH","Akron, OH Metropolitan Statistical Area","New Franklin, OH",8789.906,0.013 
"10420","39","44221","OH","Akron, OH Metropolitan Statistical Area","Cuyahoga Falls, OH",29506.122,0.042 
"10420","39","44223","OH","Akron, OH Metropolitan Statistical Area","Cuyahoga Falls, OH",18135.29,0.026 
"10420","39","44224","OH","Akron, OH Metropolitan Statistical Area","Stow, OH",38636.318,0.055 
"10420","39","44231","OH","Akron, OH Metropolitan Statistical Area","Garrettsville, OH",7469.156,0.011 
"10420","39","44234","OH","Akron, OH Metropolitan Statistical Area","Hiram, OH",3097.603,0.004 
"10420","39","44236","OH","Akron, OH Metropolitan Statistical Area","Hudson, OH",25227.851,0.036 
"10420","39","44240","OH","Akron, OH Metropolitan Statistical Area","Kent, OH",38043.583,0.054 
"10420","39","44241","OH","Akron, OH Metropolitan Statistical Area","Streetsboro, OH",16479.09,0.023 
"10420","39","44243","OH","Akron, OH Metropolitan Statistical Area","Kent, OH",5675.596,0.008 
"10420","39","44250","OH","Akron, OH Metropolitan Statistical Area","Lakemore, OH",1249.575,0.002 
"10420","39","44255","OH","Akron, OH Metropolitan Statistical Area","Mantua, OH",8011.839,0.011 
"10420","39","44256","OH","Akron, OH Metropolitan Statistical Area","Medina, OH",47.869,0 
"10420","39","44260","OH","Akron, OH Metropolitan Statistical Area","Mogadore, OH",12524.99,0.018 
"10420","39","44262","OH","Akron, OH Metropolitan Statistical Area","Munroe Falls, OH",5002.288,0.007 
"10420","39","44264","OH","Akron, OH Metropolitan Statistical Area","Cuyahoga Falls, OH",2308.672,0.003 
"10420","39","44265","OH","Akron, OH Metropolitan Statistical Area","Randolph, OH (PO Boxes)",51.159,0 
"10420","39","44266","OH","Akron, OH Metropolitan Statistical Area","Ravenna, OH",33685.434,0.048 
"10420","39","44272","OH","Akron, OH Metropolitan Statistical Area","Rootstown, OH",5224.196,0.007 
"10420","39","44278","OH","Akron, OH Metropolitan Statistical Area","Tallmadge, OH",17821.973,0.025 
"10420","39","44281","OH","Akron, OH Metropolitan Statistical Area","Wadsworth, OH",134.631,0 
"10420","39","44285","OH","Akron, OH Metropolitan Statistical Area","Wayland, OH (PO Boxes)",85.264,0 
"10420","39","44286","OH","Akron, OH Metropolitan Statistical Area","Richfield, OH",6092.301,0.009 
"10420","39","44288","OH","Akron, OH Metropolitan Statistical Area","Windham, OH",4130.807,0.006 
"10420","39","44301","OH","Akron, OH Metropolitan Statistical Area","Akron, OH",15298.067,0.022 
"10420","39","44302","OH","Akron, OH Metropolitan Statistical Area","Akron, OH",5508.9,0.008 
"10420","39","44303","OH","Akron, OH Metropolitan Statistical Area","Akron, OH",7678.951,0.011 
"10420","39","44304","OH","Akron, OH Metropolitan Statistical Area","Akron, OH",5899.828,0.008 
"10420","39","44305","OH","Akron, OH Metropolitan Statistical Area","Akron, OH",22233.058,0.032 
"10420","39","44306","OH","Akron, OH Metropolitan Statistical Area","Akron, OH",22430.516,0.032 
"10420","39","44307","OH","Akron, OH Metropolitan Statistical Area","Akron, OH",7622.107,0.011 
"10420","39","44308","OH","Akron, OH Metropolitan Statistical Area","Akron, OH",1388.195,0.002 
"10420","39","44310","OH","Akron, OH Metropolitan Statistical Area","Akron, OH",22723.713,0.032 
"10420","39","44311","OH","Akron, OH Metropolitan Statistical Area","Akron, OH",8757.994,0.012 
"10420","39","44312","OH","Akron, OH Metropolitan Statistical Area","Akron, OH",31831.975,0.045 
"10420","39","44313","OH","Akron, OH Metropolitan Statistical Area","Akron, OH",24866.838,0.035 
"10420","39","44314","OH","Akron, OH Metropolitan Statistical Area","Akron, OH",18773.54,0.027 
"10420","39","44319","OH","Akron, OH Metropolitan Statistical Area","New Franklin, OH",22623.986,0.032 
"10420","39","44320","OH","Akron, OH Metropolitan Statistical Area","Akron, OH",19882.501,0.028 
"10420","39","44321","OH","Akron, OH Metropolitan Statistical Area","Akron, OH",15101.605,0.022 
"10420","39","44333","OH","Akron, OH Metropolitan Statistical Area","Fairlawn, OH",18673.814,0.027 
"10420","39","44411","OH","Akron, OH Metropolitan Statistical Area","Deerfield, OH",2187.783,0.003 
"10420","39","44412","OH","Akron, OH Metropolitan Statistical Area","Diamond, OH",2225.901,0.003 
"10420","39","44429","OH","Akron, OH Metropolitan Statistical Area","Lake Milton, OH",64.199,0 
"10420","39","44444","OH","Akron, OH Metropolitan Statistical Area","Newton Falls, OH",948.942,0.001 
"10420","39","44449","OH","Akron, OH Metropolitan Statistical Area","North Benton, OH",622.931,0.001 
"10420","39","44491","OH","Akron, OH Metropolitan Statistical Area","West Farmington, OH",27.084,0 
"10420","39","44614","OH","Akron, OH Metropolitan Statistical Area","Canal Fulton, OH",186.489,0 
"10420","39","44632","OH","Akron, OH Metropolitan Statistical Area","Hartville, OH",517.605,0.001 
"10420","39","44685","OH","Akron, OH Metropolitan Statistical Area","Green, OH",13957.741,0.02 
"10420","39","44720","OH","Akron, OH Metropolitan Statistical Area","North Canton, OH",3476.471,0.005 
"10460","35","79837","NM","Alamogordo, NM Micropolitan Statistical Area","Dell City, TX",61.517,0.001 
"10460","35","88081","NM","Alamogordo, NM Micropolitan Statistical Area","Chaparral, NM",8964.052,0.137 
"10460","35","88310","NM","Alamogordo, NM Micropolitan Statistical Area","Alamogordo, NM",36680.536,0.561 
"10460","35","88311","NM","Alamogordo, NM Micropolitan Statistical Area","Boles Acres, NM",875.592,0.013 
"10460","35","88314","NM","Alamogordo, NM Micropolitan Statistical Area","Bent, NM",215.309,0.003 
"10460","35","88317","NM","Alamogordo, NM Micropolitan Statistical Area","Cloudcroft, NM",1795.271,0.027 
"10460","35","88325","NM","Alamogordo, NM Micropolitan Statistical Area","High Rolls, NM",921.73,0.014 
"10460","35","88330","NM","Alamogordo, NM Micropolitan Statistical Area","Holloman AFB, NM",3131.215,0.048 
"10460","35","88337","NM","Alamogordo, NM Micropolitan Statistical Area","La Luz, NM",2353.025,0.036 
"10460","35","88339","NM","Alamogordo, NM Micropolitan Statistical Area","Mayhill, NM",585.437,0.009 
"10460","35","88340","NM","Alamogordo, NM Micropolitan Statistical Area","Mescalero, NM",3707.424,0.057 
"10460","35","88342","NM","Alamogordo, NM Micropolitan Statistical Area","Orogrande, NM",53.315,0.001 
"10460","35","88344","NM","Alamogordo, NM Micropolitan Statistical Area","Pinon, NM",84.073,0.001 
"10460","35","88347","NM","Alamogordo, NM Micropolitan Statistical Area","Sacramento, NM",102.528,0.002 
"10460","35","88349","NM","Alamogordo, NM Micropolitan Statistical Area","Sunspot, NM (PO Boxes)",71.77,0.001 
"10460","35","88350","NM","Alamogordo, NM Micropolitan Statistical Area","Timberon, NM",377.304,0.006 
"10460","35","88352","NM","Alamogordo, NM Micropolitan Statistical Area","Tularosa, NM",5319.17,0.081 
"10460","35","88354","NM","Alamogordo, NM Micropolitan Statistical Area","Weed, NM",110.731,0.002 
"10500","13","31701","GA","Albany, GA Metropolitan Statistical Area","Albany, GA",19628.539,0.129 
"10500","13","31705","GA","Albany, GA Metropolitan Statistical Area","Albany, GA",33189.918,0.218 
"10500","13","31707","GA","Albany, GA Metropolitan Statistical Area","Albany, GA",24154.955,0.159 
"10500","13","31714","GA","Albany, GA Metropolitan Statistical Area","Ashburn, GA",162.699,0.001 
"10500","13","31721","GA","Albany, GA Metropolitan Statistical Area","Albany, GA",19312.064,0.127 
"10500","13","31743","GA","Albany, GA Metropolitan Statistical Area","De Soto, GA",59.093,0 
"10500","13","31744","GA","Albany, GA Metropolitan Statistical Area","Doerun, GA",1181.006,0.008 
"10500","13","31763","GA","Albany, GA Metropolitan Statistical Area","Leesburg, GA",24153.532,0.159 
"10500","13","31764","GA","Albany, GA Metropolitan Statistical Area","Leslie, GA",65.313,0 
"10500","13","31771","GA","Albany, GA Metropolitan Statistical Area","Norman Park, GA",74.65,0 
"10500","13","31772","GA","Albany, GA Metropolitan Statistical Area","Oakfield, GA",461.301,0.003 
"10500","13","31775","GA","Albany, GA Metropolitan Statistical Area","Omega, GA",265.104,0.002 
"10500","13","31781","GA","Albany, GA Metropolitan Statistical Area","Poulan, GA",1676.761,0.011 
"10500","13","31787","GA","Albany, GA Metropolitan Statistical Area","Smithville, GA",1181.857,0.008 
"10500","13","31789","GA","Albany, GA Metropolitan Statistical Area","Sumner, GA",1182.92,0.008 
"10500","13","31791","GA","Albany, GA Metropolitan Statistical Area","Sylvester, GA",11823.239,0.078 
"10500","13","31795","GA","Albany, GA Metropolitan Statistical Area","Ty Ty, GA",632.613,0.004 
"10500","13","31796","GA","Albany, GA Metropolitan Statistical Area","Warwick, GA",1064.245,0.007 
"10500","13","39813","GA","Albany, GA Metropolitan Statistical Area","Arlington, GA",127.789,0.001 
"10500","13","39826","GA","Albany, GA Metropolitan Statistical Area","Bronwood, GA",402.384,0.003 
"10500","13","39837","GA","Albany, GA Metropolitan Statistical Area","Colquitt, GA",352.333,0.002 
"10500","13","39841","GA","Albany, GA Metropolitan Statistical Area","Damascus, GA",131.44,0.001 
"10500","13","39842","GA","Albany, GA Metropolitan Statistical Area","Dawson, GA",8024.575,0.053 
"10500","13","39862","GA","Albany, GA Metropolitan Statistical Area","Leary, GA",430.832,0.003 
"10500","13","39870","GA","Albany, GA Metropolitan Statistical Area","Newton, GA",2042.799,0.013 
"10500","13","39877","GA","Albany, GA Metropolitan Statistical Area","Webster County unified, GA",299.381,0.002 
"10500","13","39885","GA","Albany, GA Metropolitan Statistical Area","Sasser, GA",73.161,0 
"10500","13","39886","GA","Albany, GA Metropolitan Statistical Area","Shellman, GA",64.497,0 
"10540","41","97321","OR","Albany-Lebanon, OR Micropolitan Statistical Area","Albany, OR",17241.946,0.14 
"10540","41","97322","OR","Albany-Lebanon, OR Micropolitan Statistical Area","Albany, OR",35841.137,0.292 
"10540","41","97327","OR","Albany-Lebanon, OR Micropolitan Statistical Area","Brownsville, OR",3023,0.025 
"10540","41","97329","OR","Albany-Lebanon, OR Micropolitan Statistical Area","Cascadia, OR",94.765,0.001 
"10540","41","97333","OR","Albany-Lebanon, OR Micropolitan Statistical Area","Corvallis, OR",1344.609,0.011 
"10540","41","97345","OR","Albany-Lebanon, OR Micropolitan Statistical Area","Foster, OR",604.389,0.005 
"10540","41","97346","OR","Albany-Lebanon, OR Micropolitan Statistical Area","Gates, OR",351.683,0.003 
"10540","41","97348","OR","Albany-Lebanon, OR Micropolitan Statistical Area","Halsey, OR",1711.033,0.014 
"10540","41","97350","OR","Albany-Lebanon, OR Micropolitan Statistical Area","Idanha, OR",74.759,0.001 
"10540","41","97352","OR","Albany-Lebanon, OR Micropolitan Statistical Area","Jefferson, OR",87.394,0.001 
"10540","41","97355","OR","Albany-Lebanon, OR Micropolitan Statistical Area","Lebanon, OR",30127.866,0.245 
"10540","41","97358","OR","Albany-Lebanon, OR Micropolitan Statistical Area","Lyons, OR",1975.322,0.016 
"10540","41","97360","OR","Albany-Lebanon, OR Micropolitan Statistical Area","Mill City, OR",1884.768,0.015 
"10540","41","97374","OR","Albany-Lebanon, OR Micropolitan Statistical Area","Scio, OR",5544.799,0.045 
"10540","41","97377","OR","Albany-Lebanon, OR Micropolitan Statistical Area","Shedd, OR",965.549,0.008 
"10540","41","97383","OR","Albany-Lebanon, OR Micropolitan Statistical Area","Stayton, OR",856.043,0.007 
"10540","41","97386","OR","Albany-Lebanon, OR Micropolitan Statistical Area","Sweet Home, OR",14285.282,0.116 
"10540","41","97389","OR","Albany-Lebanon, OR Micropolitan Statistical Area","Tangent, OR",1764.733,0.014 
"10540","41","97413","OR","Albany-Lebanon, OR Micropolitan Statistical Area","Blue River, OR",6.318,0 
"10540","41","97446","OR","Albany-Lebanon, OR Micropolitan Statistical Area","Harrisburg, OR",5046.757,0.041 
"10540","41","97759","OR","Albany-Lebanon, OR Micropolitan Statistical Area","Sisters, OR",16.847,0 
"10580","36","12007","NY","Albany-Schenectady-Troy, NY Metropolitan Statistical Area","Alcove, NY",60.916,0 
"10580","36","12008","NY","Albany-Schenectady-Troy, NY Metropolitan Statistical Area","East Glenville, NY",496.441,0.001 
"10580","36","12009","NY","Albany-Schenectady-Troy, NY Metropolitan Statistical Area","Altamont, NY",7273.319,0.008 
"10580","36","12010","NY","Albany-Schenectady-Troy, NY Metropolitan Statistical Area","Amsterdam, NY",1132.134,0.001 
"10580","36","12018","NY","Albany-Schenectady-Troy, NY Metropolitan Statistical Area","Averill Park, NY",7961.883,0.009 
"10580","36","12019","NY","Albany-Schenectady-Troy, NY Metropolitan Statistical Area","Ballston Lake, NY",15213.081,0.017 
"10580","36","12020","NY","Albany-Schenectady-Troy, NY Metropolitan Statistical Area","Ballston Spa, NY",32249.597,0.037 
"10580","36","12022","NY","Albany-Schenectady-Troy, NY Metropolitan Statistical Area","Berlin, NY",932.735,0.001 
"10580","36","12023","NY","Albany-Schenectady-Troy, NY Metropolitan Statistical Area","Berne, NY",2206.977,0.003 
"10580","36","12025","NY","Albany-Schenectady-Troy, NY Metropolitan Statistical Area","Broadalbin, NY",559.343,0.001 
"10580","36","12027","NY","Albany-Schenectady-Troy, NY Metropolitan Statistical Area","Burnt Hills, NY",3989.697,0.005 
"10580","36","12028","NY","Albany-Schenectady-Troy, NY Metropolitan Statistical Area","Buskirk, NY",797.192,0.001 
"10580","36","12031","NY","Albany-Schenectady-Troy, NY Metropolitan Statistical Area","Carlisle, NY",167.348,0 
"10580","36","12033","NY","Albany-Schenectady-Troy, NY Metropolitan Statistical Area","Castleton On Hudson, NY",7882.566,0.009 
"10580","36","12035","NY","Albany-Schenectady-Troy, NY Metropolitan Statistical Area","Central Bridge, NY",766.931,0.001 
"10580","36","12036","NY","Albany-Schenectady-Troy, NY Metropolitan Statistical Area","Charlotteville, NY",184.561,0 
"10580","36","12040","NY","Albany-Schenectady-Troy, NY Metropolitan Statistical Area","Cherry Plain, NY (PO Boxes)",113.454,0 
"10580","36","12041","NY","Albany-Schenectady-Troy, NY Metropolitan Statistical Area","Clarksville, NY",488.34,0.001 
"10580","36","12043","NY","Albany-Schenectady-Troy, NY Metropolitan Statistical Area","Cobleskill, NY",8132.15,0.009 
"10580","36","12045","NY","Albany-Schenectady-Troy, NY Metropolitan Statistical Area","Coeymans, NY (PO Boxes)",592.912,0.001 
"10580","36","12046","NY","Albany-Schenectady-Troy, NY Metropolitan Statistical Area","Coeymans Hollow, NY",800.024,0.001 
"10580","36","12047","NY","Albany-Schenectady-Troy, NY Metropolitan Statistical Area","Cohoes, NY",19964.063,0.023 
"10580","36","12052","NY","Albany-Schenectady-Troy, NY Metropolitan Statistical Area","Cropseyville, NY",1574.304,0.002 
"10580","36","12053","NY","Albany-Schenectady-Troy, NY Metropolitan Statistical Area","Delanson, NY",4512.451,0.005 
"10580","36","12054","NY","Albany-Schenectady-Troy, NY Metropolitan Statistical Area","Delmar, NY",17176.16,0.019 
"10580","36","12056","NY","Albany-Schenectady-Troy, NY Metropolitan Statistical Area","Duanesburg, NY",2307.402,0.003 
"10580","36","12057","NY","Albany-Schenectady-Troy, NY Metropolitan Statistical Area","Eagle Bridge, NY",438.757,0 
